Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
IBKC,IBERIABANK Corporation,86.0,4818354938.0,,,Finance,Major Banks,https://www.nasdaq.com/symbol/ibkc,
IBKCO,IBERIABANK Corporation,27.05,0.0,,,Finance,Major Banks,https://www.nasdaq.com/symbol/ibkco,
IBKCP,IBERIABANK Corporation,27.243000000000002,0.0,,,Finance,Major Banks,https://www.nasdaq.com/symbol/ibkcp,
ICAD,icad inc.,2.9,48901937.3,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/icad,
IEP,Icahn Enterprises L.P.,77.01,14030508425.34,,,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/iep,
ICCH,"ICC Holdings, Inc.",15.1,52850000.0,,2017.0,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/icch,
ICFI,"ICF International, Inc.",81.1,1529572195.3,,2006.0,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/icfi,
ICHR,Ichor Holdings,24.16,588506916.8,,2016.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/ichr,
ICLK,iClick Interactive Asia Group Limited,5.99,80301388.92,13405908.0,2017.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/iclk,
ICLR,ICON plc,144.49,7849833791.81,,1998.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/iclr,
ICON,"Iconix Brand Group, Inc.",0.382,26145347.858000003,,,Consumer Non-Durables,Shoe Manufacturing,https://www.nasdaq.com/symbol/icon,
ICUI,"ICU Medical, Inc.",304.0,6222128816.0,,1992.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/icui,
IPWR,Ideal Power Inc.,0.6849,9588834.2358,,2013.0,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/ipwr,
INVE,"Identiv, Inc.",6.1,93655685.1,,,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/inve,
IDRA,"Idera Pharmaceuticals, Inc.",9.17,249184232.01,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/idra,
IDXX,"IDEXX Laboratories, Inc.",249.5,21604445518.0,,1991.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/idxx,
IESC,"IES Holdings, Inc.",18.95,401844907.2,,,Capital Goods,Engineering & Construction,https://www.nasdaq.com/symbol/iesc,
IROQ,"IF Bancorp, Inc.",24.85,96204488.8,,2011.0,Finance,Savings Institutions,https://www.nasdaq.com/symbol/iroq,
IFMK,iFresh Inc.,3.09,44182355.73,,,Consumer Services,Food Chains,https://www.nasdaq.com/symbol/ifmk,
INFO,IHS Markit Ltd.,53.67,21039524481.6,,1996.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/info,
IIVI,II-VI Incorporated,47.8,2989628534.0,,1987.0,Capital Goods,Electronic Components,https://www.nasdaq.com/symbol/iivi,
